Year,*World,*World CI (Low),*World CI (High)
1900,0.143,0.126,0.159
1901,0.145,0.129,0.162
1902,0.147,0.13,0.163
1903,0.145,0.128,0.161
1904,0.146,0.129,0.162
1905,0.146,0.13,0.163
1906,0.148,0.131,0.164
1907,0.148,0.131,0.164
1908,0.148,0.131,0.165
1909,0.151,0.133,0.167
1910,0.151,0.134,0.168
1911,0.151,0.133,0.167
1912,0.152,0.134,0.168
1913,0.152,0.134,0.168
1914,0.15,0.132,0.166
1915,0.149,0.131,0.165
1916,0.15,0.132,0.166
1917,0.15,0.132,0.166
1918,0.154,0.136,0.171
1919,0.164,0.146,0.182
1920,0.179,0.159,0.198
1921,0.189,0.168,0.21
1922,0.19,0.169,0.211
1923,0.192,0.17,0.212
1924,0.194,0.173,0.215
1925,0.193,0.172,0.213
1926,0.19,0.17,0.21
1927,0.189,0.168,0.208
1928,0.188,0.168,0.208
1929,0.188,0.168,0.208
1930,0.184,0.164,0.204
1931,0.183,0.163,0.203
1932,0.187,0.167,0.207
1933,0.183,0.163,0.202
1934,0.176,0.157,0.195
1935,0.173,0.154,0.192
1936,0.173,0.154,0.191
1937,0.172,0.153,0.19
1938,0.173,0.154,0.191
1939,0.167,0.148,0.185
1940,0.15,0.133,0.167
1941,0.146,0.128,0.162
1942,0.144,0.127,0.161
1943,0.144,0.126,0.16
1944,0.143,0.126,0.159
1945,0.16,0.141,0.177
1946,0.194,0.174,0.214
1947,0.211,0.19,0.232
1948,0.217,0.195,0.238
1949,0.225,0.203,0.247
1950,0.233,0.21,0.255
1951,0.236,0.213,0.259
1952,0.242,0.219,0.265
1953,0.246,0.222,0.269
1954,0.247,0.223,0.27
1955,0.25,0.226,0.274
1956,0.259,0.234,0.283
1957,0.269,0.243,0.294
1958,0.272,0.246,0.297
1959,0.274,0.248,0.299
1960,0.286,0.259,0.312
1961,0.291,0.263,0.317
1962,0.294,0.266,0.32
1963,0.299,0.272,0.326
1964,0.299,0.272,0.325
1965,0.297,0.271,0.323
1966,0.294,0.268,0.319
1967,0.295,0.269,0.321
1968,0.296,0.27,0.322
1969,0.292,0.266,0.317
1970,0.292,0.267,0.317
1971,0.291,0.266,0.316
1972,0.289,0.265,0.314
1973,0.288,0.264,0.312
1974,0.288,0.264,0.312
1975,0.292,0.268,0.317
1976,0.293,0.269,0.317
1977,0.297,0.273,0.32
1978,0.302,0.278,0.326
1979,0.31,0.284,0.334
1980,0.319,0.293,0.344
1981,0.321,0.295,0.346
1982,0.322,0.296,0.348
1983,0.325,0.299,0.351
1984,0.331,0.305,0.357
1985,0.338,0.312,0.366
1986,0.344,0.316,0.372
1987,0.348,0.321,0.377
1988,0.356,0.328,0.385
1989,0.361,0.332,0.39
1990,0.41,0.377,0.444
1991,0.425,0.391,0.46
1992,0.443,0.407,0.48
1993,0.464,0.426,0.502
1994,0.469,0.431,0.508
1995,0.475,0.436,0.514
1996,0.48,0.44,0.519
1997,0.486,0.446,0.527
1998,0.489,0.449,0.529
1999,0.489,0.448,0.528
2000,0.492,0.453,0.532
2001,0.495,0.455,0.535
2002,0.505,0.465,0.546
2003,0.514,0.472,0.555
2004,0.514,0.473,0.556
2005,0.518,0.477,0.56
2006,0.522,0.481,0.564
2007,0.519,0.477,0.56
2008,0.522,0.481,0.564
2009,0.524,0.483,0.565
2010,0.526,0.485,0.567
2011,0.529,0.488,0.571
2012,0.53,0.489,0.572
2013,0.525,0.484,0.567
2014,0.526,0.485,0.568
2015,0.524,0.483,0.566
2016,0.523,0.481,0.565
2017,0.52,0.479,0.562
2018,0.521,0.479,0.563
2019,0.519,0.476,0.561
2020,0.513,0.471,0.555
2021,0.504,0.463,0.546
2022,0.498,0.457,0.539
2023,0.495,0.454,0.536
