Year,*World,*World CI (Low),*World CI (High)
1900,0.844,0.774,0.898
1901,0.841,0.769,0.895
1902,0.838,0.767,0.893
1903,0.838,0.766,0.894
1904,0.839,0.767,0.894
1905,0.839,0.767,0.894
1906,0.839,0.766,0.894
1907,0.838,0.766,0.893
1908,0.838,0.766,0.893
1909,0.838,0.765,0.893
1910,0.837,0.764,0.893
1911,0.837,0.763,0.893
1912,0.838,0.764,0.893
1913,0.837,0.763,0.892
1914,0.837,0.764,0.892
1915,0.836,0.763,0.891
1916,0.834,0.761,0.89
1917,0.833,0.759,0.889
1918,0.818,0.743,0.876
1919,0.813,0.737,0.872
1920,0.806,0.729,0.867
1921,0.805,0.728,0.866
1922,0.804,0.727,0.866
1923,0.803,0.725,0.864
1924,0.8,0.721,0.862
1925,0.798,0.72,0.861
1926,0.797,0.718,0.86
1927,0.797,0.718,0.859
1928,0.796,0.718,0.859
1929,0.795,0.717,0.858
1930,0.793,0.713,0.856
1931,0.791,0.711,0.854
1932,0.79,0.71,0.853
1933,0.789,0.71,0.852
1934,0.79,0.711,0.853
1935,0.789,0.71,0.852
1936,0.789,0.709,0.852
1937,0.788,0.709,0.852
1938,0.788,0.709,0.852
1939,0.79,0.711,0.853
1940,0.792,0.714,0.855
1941,0.792,0.713,0.855
1942,0.791,0.711,0.854
1943,0.79,0.71,0.853
1944,0.783,0.703,0.847
1945,0.769,0.687,0.836
1946,0.749,0.666,0.819
1947,0.742,0.658,0.812
1948,0.736,0.652,0.806
1949,0.73,0.647,0.802
1950,0.714,0.629,0.789
1951,0.714,0.628,0.788
1952,0.713,0.627,0.787
1953,0.71,0.623,0.785
1954,0.707,0.62,0.782
1955,0.706,0.618,0.782
1956,0.702,0.614,0.779
1957,0.696,0.606,0.774
1958,0.692,0.602,0.771
1959,0.687,0.598,0.767
1960,0.651,0.557,0.737
1961,0.648,0.553,0.735
1962,0.647,0.552,0.734
1963,0.642,0.545,0.73
1964,0.636,0.538,0.726
1965,0.631,0.533,0.722
1966,0.628,0.528,0.718
1967,0.627,0.529,0.717
1968,0.623,0.524,0.713
1969,0.621,0.522,0.711
1970,0.6,0.501,0.692
1971,0.601,0.502,0.693
1972,0.599,0.5,0.691
1973,0.596,0.496,0.687
1974,0.591,0.491,0.683
1975,0.575,0.473,0.669
1976,0.565,0.463,0.66
1977,0.561,0.46,0.656
1978,0.561,0.459,0.655
1979,0.558,0.457,0.653
1980,0.528,0.428,0.625
1981,0.526,0.426,0.622
1982,0.524,0.424,0.62
1983,0.522,0.422,0.618
1984,0.519,0.42,0.616
1985,0.516,0.417,0.612
1986,0.512,0.413,0.608
1987,0.509,0.41,0.605
1988,0.506,0.407,0.601
1989,0.5,0.402,0.595
1990,0.44,0.346,0.536
1991,0.438,0.344,0.535
1992,0.433,0.34,0.531
1993,0.429,0.336,0.526
1994,0.425,0.332,0.523
1995,0.42,0.327,0.518
1996,0.417,0.324,0.515
1997,0.414,0.321,0.513
1998,0.41,0.317,0.509
1999,0.409,0.317,0.509
2000,0.378,0.289,0.476
2001,0.377,0.288,0.475
2002,0.372,0.282,0.47
2003,0.369,0.279,0.467
2004,0.366,0.276,0.463
2005,0.362,0.273,0.459
2006,0.36,0.272,0.458
2007,0.359,0.27,0.457
2008,0.356,0.268,0.453
2009,0.356,0.268,0.453
2010,0.347,0.26,0.444
2011,0.348,0.261,0.445
2012,0.347,0.261,0.445
2013,0.348,0.262,0.446
2014,0.347,0.261,0.444
2015,0.346,0.26,0.442
2016,0.344,0.258,0.441
2017,0.343,0.257,0.439
2018,0.342,0.257,0.439
2019,0.339,0.254,0.436
2020,0.341,0.255,0.438
2021,0.344,0.258,0.44
2022,0.344,0.259,0.441
2023,0.345,0.259,0.441
